"LGA","Leading_cause"
"Albury","Coronary Heart Disease"
"Armidale Regional","Coronary Heart Disease"
"Ballina","Coronary Heart Disease"
"Balranald","Coronary Heart Disease"
"Bathurst Regional","Coronary Heart Disease"
"Bayside (NSW)","Dementia / Alzheimer's"
"Bega Valley","Coronary Heart Disease"
"Bellingen","Coronary Heart Disease"
"Berrigan","Coronary Heart Disease"
"Blacktown","Coronary Heart Disease"
"Bland","Coronary Heart Disease"
"Blayney","Coronary Heart Disease"
"Blue Mountains","Coronary Heart Disease"
"Bogan","Coronary Heart Disease"
"Bourke","Coronary Heart Disease"
"Brewarrina","Coronary Heart Disease"
"Broken Hill","Coronary Heart Disease"
"Burwood","Dementia / Alzheimer's"
"Byron","Dementia / Alzheimer's"
"Cabonne","Coronary Heart Disease"
"Camden","Coronary Heart Disease"
"Campbelltown (NSW)","Coronary Heart Disease"
"Canada Bay","Dementia / Alzheimer's"
"Canterbury-Bankstown","Coronary Heart Disease"
"Carrathool","Chronic Obstructive Pulmonary Disease"
"Central Coast (NSW)","Dementia / Alzheimer's"
"Central Darling","Coronary Heart Disease"
"Cessnock","Coronary Heart Disease"
"Clarence Valley","Coronary Heart Disease"
"Cobar","Chronic Obstructive Pulmonary Disease"
"Coffs Harbour","Coronary Heart Disease"
"Coolamon","Coronary Heart Disease"
"Coonamble","Coronary Heart Disease"
"Cootamundra-Gundagai Regional","Coronary Heart Disease"
"Cowra","Coronary Heart Disease"
"Cumberland","Coronary Heart Disease"
"Dubbo Regional","Coronary Heart Disease"
"Dungog","Coronary Heart Disease"
"Edward River","Coronary Heart Disease"
"Eurobodalla","Coronary Heart Disease"
"Fairfield","Coronary Heart Disease"
"Federation","Coronary Heart Disease"
"Forbes","Coronary Heart Disease"
"Georges River","Coronary Heart Disease"
"Gilgandra","Coronary Heart Disease"
"Glen Innes Severn","Coronary Heart Disease"
"Goulburn Mulwaree","Dementia / Alzheimer's"
"Greater Hume Shire","Coronary Heart Disease"
"Griffith","Dementia / Alzheimer's"
"Gunnedah","Coronary Heart Disease"
"Gwydir","Coronary Heart Disease"
"Hawkesbury","Coronary Heart Disease"
"Hay","Other Ill-defined Causes"
"Hilltops","Coronary Heart Disease"
"Hornsby","Dementia / Alzheimer's"
"Hunters Hill","Dementia / Alzheimer's"
"Inner West","Dementia / Alzheimer's"
"Inverell","Coronary Heart Disease"
"Junee","Coronary Heart Disease"
"Kempsey","Dementia / Alzheimer's"
"Kiama","Dementia / Alzheimer's"
"Ku-ring-gai","Dementia / Alzheimer's"
"Kyogle","Coronary Heart Disease"
"Lachlan","Coronary Heart Disease"
"Lake Macquarie","Coronary Heart Disease"
"Lane Cove","Dementia / Alzheimer's"
"Leeton","Coronary Heart Disease"
"Lismore","Coronary Heart Disease"
"Lithgow","Coronary Heart Disease"
"Liverpool","Coronary Heart Disease"
"Liverpool Plains","Dementia / Alzheimer's"
"Lockhart","Coronary Heart Disease"
"Maitland","Coronary Heart Disease"
"Mid-Coast","Coronary Heart Disease"
"Mid-Western Regional","Coronary Heart Disease"
"Moree Plains","Coronary Heart Disease"
"Mosman","Coronary Heart Disease"
"Murray River","Coronary Heart Disease"
"Murrumbidgee","Coronary Heart Disease"
"Muswellbrook","Coronary Heart Disease"
"Nambucca Valley","Coronary Heart Disease"
"Narrabri","Coronary Heart Disease"
"Narrandera","Coronary Heart Disease"
"Narromine","Coronary Heart Disease"
"Newcastle","Coronary Heart Disease"
"North Sydney","Coronary Heart Disease"
"Northern Beaches","Dementia / Alzheimer's"
"Oberon","Dementia / Alzheimer's"
"Orange","Coronary Heart Disease"
"Parkes","Dementia / Alzheimer's"
"Parramatta","Dementia / Alzheimer's"
"Penrith","Coronary Heart Disease"
"Port Macquarie-Hastings","Dementia / Alzheimer's"
"Port Stephens","Coronary Heart Disease"
"Queanbeyan-Palerang Regional","Coronary Heart Disease"
"Randwick","Dementia / Alzheimer's"
"Richmond Valley","Coronary Heart Disease"
"Ryde","Dementia / Alzheimer's"
"Shellharbour","Dementia / Alzheimer's"
"Shoalhaven","Coronary Heart Disease"
"Singleton","Coronary Heart Disease"
"Snowy Monaro Regional","Coronary Heart Disease"
"Snowy Valleys","Coronary Heart Disease"
"Strathfield","Stroke / Cerebrovascular Disease"
"Sutherland Shire","Dementia / Alzheimer's"
"Sydney","Coronary Heart Disease"
"Tamworth Regional","Coronary Heart Disease"
"Temora","Coronary Heart Disease"
"Tenterfield","Coronary Heart Disease"
"The Hills Shire","Coronary Heart Disease"
"Tweed","Coronary Heart Disease"
"Upper Hunter Shire","Coronary Heart Disease"
"Upper Lachlan Shire","Coronary Heart Disease"
"Uralla","Chronic Obstructive Pulmonary Disease"
"Wagga Wagga","Coronary Heart Disease"
"Walcha","Coronary Heart Disease"
"Walgett","Coronary Heart Disease"
"Warren","Coronary Heart Disease"
"Warrumbungle Shire","Heart Failure / Ill-defined Heart Disease"
"Waverley","Dementia / Alzheimer's"
"Weddin","Stroke / Cerebrovascular Disease"
"Wentworth","Coronary Heart Disease"
"Willoughby","Dementia / Alzheimer's"
"Wingecarribee","Dementia / Alzheimer's"
"Wollondilly","Coronary Heart Disease"
"Wollongong","Dementia / Alzheimer's"
"Woollahra","Dementia / Alzheimer's"
"Yass Valley","Dementia / Alzheimer's"
"Unincorporated NSW","Chronic Obstructive Pulmonary Disease"
"Alpine","Coronary Heart Disease"
"Ararat","Coronary Heart Disease"
"Ballarat","Coronary Heart Disease"
"Banyule","Coronary Heart Disease"
"Bass Coast","Coronary Heart Disease"
"Baw Baw","Coronary Heart Disease"
"Bayside (Vic.)","Coronary Heart Disease"
"Benalla","Coronary Heart Disease"
"Boroondara","Dementia / Alzheimer's"
"Brimbank","Coronary Heart Disease"
"Buloke","Dementia / Alzheimer's"
"Campaspe","Coronary Heart Disease"
"Cardinia","Coronary Heart Disease"
"Casey","Coronary Heart Disease"
"Central Goldfields","Coronary Heart Disease"
"Colac Otway","Coronary Heart Disease"
"Corangamite","Coronary Heart Disease"
"Darebin","Coronary Heart Disease"
"East Gippsland","Coronary Heart Disease"
"Frankston","Coronary Heart Disease"
"Gannawarra","Coronary Heart Disease"
"Glen Eira","Coronary Heart Disease"
"Glenelg","Coronary Heart Disease"
"Golden Plains","Coronary Heart Disease"
"Greater Bendigo","Coronary Heart Disease"
"Greater Dandenong","Coronary Heart Disease"
"Greater Geelong","Coronary Heart Disease"
"Greater Shepparton","Coronary Heart Disease"
"Hepburn","Coronary Heart Disease"
"Hindmarsh","Dementia / Alzheimer's"
"Hobsons Bay","Coronary Heart Disease"
"Horsham","Coronary Heart Disease"
"Hume","Coronary Heart Disease"
"Indigo","Dementia / Alzheimer's"
"Kingston (Vic.)","Coronary Heart Disease"
"Knox","Coronary Heart Disease"
"Latrobe (Vic.)","Coronary Heart Disease"
"Loddon","Coronary Heart Disease"
"Macedon Ranges","Coronary Heart Disease"
"Manningham","Dementia / Alzheimer's"
"Mansfield","Coronary Heart Disease"
"Maribyrnong","Coronary Heart Disease"
"Maroondah","Dementia / Alzheimer's"
"Melbourne","Coronary Heart Disease"
"Melton","Coronary Heart Disease"
"Mildura","Coronary Heart Disease"
"Mitchell","Coronary Heart Disease"
"Moira","Coronary Heart Disease"
"Monash","Dementia / Alzheimer's"
"Moonee Valley","Coronary Heart Disease"
"Moorabool","Coronary Heart Disease"
"Moreland","Coronary Heart Disease"
"Mornington Peninsula","Coronary Heart Disease"
"Mount Alexander","Coronary Heart Disease"
"Moyne","Coronary Heart Disease"
"Murrindindi","Coronary Heart Disease"
"Nillumbik","Dementia / Alzheimer's"
"Northern Grampians","Coronary Heart Disease"
"Port Phillip","Coronary Heart Disease"
"Pyrenees","Coronary Heart Disease"
"Queenscliffe","Coronary Heart Disease"
"South Gippsland","Coronary Heart Disease"
"Southern Grampians","Coronary Heart Disease"
"Stonnington","Dementia / Alzheimer's"
"Strathbogie","Dementia / Alzheimer's"
"Surf Coast","Dementia / Alzheimer's"
"Swan Hill","Coronary Heart Disease"
"Towong","Coronary Heart Disease"
"Wangaratta","Coronary Heart Disease"
"Warrnambool","Coronary Heart Disease"
"Wellington","Coronary Heart Disease"
"West Wimmera","Coronary Heart Disease"
"Whitehorse","Dementia / Alzheimer's"
"Whittlesea","Coronary Heart Disease"
"Wodonga","Coronary Heart Disease"
"Wyndham","Coronary Heart Disease"
"Yarra","Coronary Heart Disease"
"Yarra Ranges","Coronary Heart Disease"
"Yarriambiack","Dementia / Alzheimer's"
"Unincorporated Vic","Coronary Heart Disease"
"Aurukun","Diabetes"
"Balonne","Coronary Heart Disease"
"Banana","Coronary Heart Disease"
"Barcaldine","Coronary Heart Disease"
"Barcoo",NA
"Blackall Tambo","Coronary Heart Disease"
"Boulia",NA
"Brisbane","Coronary Heart Disease"
"Bulloo",NA
"Bundaberg","Coronary Heart Disease"
"Burdekin","Coronary Heart Disease"
"Burke",NA
"Cairns","Coronary Heart Disease"
"Carpentaria","Diabetes"
"Cassowary Coast","Coronary Heart Disease"
"Central Highlands (Qld)","Coronary Heart Disease"
"Charters Towers","Coronary Heart Disease"
"Cherbourg","Coronary Heart Disease"
"Cloncurry","Coronary Heart Disease"
"Cook","Coronary Heart Disease"
"Croydon",NA
"Diamantina",NA
"Doomadgee","Diabetes"
"Douglas","Coronary Heart Disease"
"Etheridge",NA
"Flinders (Qld)","Coronary Heart Disease"
"Fraser Coast","Coronary Heart Disease"
"Gladstone","Coronary Heart Disease"
"Gold Coast","Coronary Heart Disease"
"Goondiwindi","Coronary Heart Disease"
"Gympie","Coronary Heart Disease"
"Hinchinbrook","Coronary Heart Disease"
"Hope Vale",NA
"Ipswich","Coronary Heart Disease"
"Isaac","Coronary Heart Disease"
"Kowanyama","Coronary Heart Disease"
"Livingstone","Coronary Heart Disease"
"Lockhart River",NA
"Lockyer Valley","Coronary Heart Disease"
"Logan","Coronary Heart Disease"
"Longreach","Coronary Heart Disease"
"Mackay","Coronary Heart Disease"
"McKinlay","Coronary Heart Disease"
"Mapoon",NA
"Maranoa","Coronary Heart Disease"
"Mareeba","Coronary Heart Disease"
"Moreton Bay","Coronary Heart Disease"
"Mornington","Diabetes"
"Mount Isa","Coronary Heart Disease"
"Murweh","Coronary Heart Disease"
"Napranum",NA
"Noosa","Coronary Heart Disease"
"North Burnett","Coronary Heart Disease"
"Northern Peninsula Area","Coronary Heart Disease"
"Palm Island","Coronary Heart Disease"
"Paroo","Coronary Heart Disease"
"Pormpuraaw",NA
"Quilpie",NA
"Redland","Coronary Heart Disease"
"Richmond",NA
"Rockhampton","Coronary Heart Disease"
"Scenic Rim","Coronary Heart Disease"
"Somerset","Coronary Heart Disease"
"South Burnett","Coronary Heart Disease"
"Southern Downs","Coronary Heart Disease"
"Sunshine Coast","Coronary Heart Disease"
"Tablelands","Coronary Heart Disease"
"Toowoomba","Coronary Heart Disease"
"Torres","Coronary Heart Disease"
"Torres Strait Island","Diabetes"
"Townsville","Coronary Heart Disease"
"Weipa",NA
"Western Downs","Coronary Heart Disease"
"Whitsunday","Coronary Heart Disease"
"Winton","Coronary Heart Disease"
"Woorabinda",NA
"Wujal Wujal",NA
"Yarrabah","Diabetes"
"Adelaide","Dementia / Alzheimer's"
"Adelaide Hills","Dementia / Alzheimer's"
"Adelaide Plains","Coronary Heart Disease"
"Alexandrina","Coronary Heart Disease"
"Anangu Pitjantjatjara Yunkunytjatjara","Diabetes"
"Barossa","Coronary Heart Disease"
"Barunga West","Coronary Heart Disease"
"Berri Barmera","Coronary Heart Disease"
"Burnside","Dementia / Alzheimer's"
"Campbelltown (SA)","Dementia / Alzheimer's"
"Ceduna","Coronary Heart Disease"
"Charles Sturt","Dementia / Alzheimer's"
"Clare and Gilbert Valleys","Dementia / Alzheimer's"
"Cleve","Dementia / Alzheimer's"
"Coober Pedy","Lung Cancer"
"Copper Coast","Coronary Heart Disease"
"Elliston","Dementia / Alzheimer's"
"Flinders Ranges","Lung Cancer"
"Franklin Harbour","Dementia / Alzheimer's"
"Gawler","Coronary Heart Disease"
"Goyder","Coronary Heart Disease"
"Grant","Coronary Heart Disease"
"Holdfast Bay","Dementia / Alzheimer's"
"Kangaroo Island","Coronary Heart Disease"
"Karoonda East Murray","Coronary Heart Disease"
"Kimba","Dementia / Alzheimer's"
"Kingston (SA)","Coronary Heart Disease"
"Light","Coronary Heart Disease"
"Lower Eyre Peninsula","Coronary Heart Disease"
"Loxton Waikerie","Dementia / Alzheimer's"
"Maralinga Tjarutja",NA
"Marion","Dementia / Alzheimer's"
"Mid Murray","Dementia / Alzheimer's"
"Mitcham","Dementia / Alzheimer's"
"Mount Barker","Dementia / Alzheimer's"
"Mount Gambier","Coronary Heart Disease"
"Mount Remarkable","Dementia / Alzheimer's"
"Murray Bridge","Coronary Heart Disease"
"Naracoorte Lucindale","Coronary Heart Disease"
"Northern Areas","Dementia / Alzheimer's"
"Norwood Payneham and St Peters","Dementia / Alzheimer's"
"Onkaparinga","Coronary Heart Disease"
"Orroroo Carrieton","Dementia / Alzheimer's"
"Peterborough","Dementia / Alzheimer's"
"Playford","Coronary Heart Disease"
"Port Adelaide Enfield","Coronary Heart Disease"
"Port Augusta","Coronary Heart Disease"
"Port Lincoln","Coronary Heart Disease"
"Port Pirie","Dementia / Alzheimer's"
"Prospect","Dementia / Alzheimer's"
"Renmark Paringa","Dementia / Alzheimer's"
"Robe","Coronary Heart Disease"
"Roxby Downs",NA
"Salisbury","Dementia / Alzheimer's"
"Southern Mallee","Coronary Heart Disease"
"Streaky Bay","Coronary Heart Disease"
"Tatiara","Coronary Heart Disease"
"Tea Tree Gully","Dementia / Alzheimer's"
"Coorong","Coronary Heart Disease"
"Tumby Bay","Coronary Heart Disease"
"Unley","Coronary Heart Disease"
"Victor Harbor","Dementia / Alzheimer's"
"Wakefield","Coronary Heart Disease"
"Walkerville","Dementia / Alzheimer's"
"Wattle Range","Coronary Heart Disease"
"West Torrens","Dementia / Alzheimer's"
"Whyalla","Coronary Heart Disease"
"Wudinna","Dementia / Alzheimer's"
"Yankalilla","Coronary Heart Disease"
"Yorke Peninsula","Coronary Heart Disease"
"Unincorporated SA","Coronary Heart Disease"
"Albany","Coronary Heart Disease"
"Armadale","Coronary Heart Disease"
"Ashburton","Coronary Heart Disease"
"Augusta Margaret River","Coronary Heart Disease"
"Bassendean","Coronary Heart Disease"
"Bayswater","Coronary Heart Disease"
"Belmont","Coronary Heart Disease"
"Beverley","Coronary Heart Disease"
"Boddington","Lung Cancer"
"Boyup Brook","Coronary Heart Disease"
"Bridgetown-Greenbushes","Coronary Heart Disease"
"Brookton","Coronary Heart Disease"
"Broome","Coronary Heart Disease"
"Broomehill-Tambellup","Coronary Heart Disease"
"Bruce Rock","Coronary Heart Disease"
"Bunbury","Dementia / Alzheimer's"
"Busselton","Coronary Heart Disease"
"Cambridge","Dementia / Alzheimer's"
"Canning","Coronary Heart Disease"
"Capel","Coronary Heart Disease"
"Carnamah",NA
"Carnarvon","Coronary Heart Disease"
"Chapman Valley","Coronary Heart Disease"
"Chittering","Coronary Heart Disease"
"Christmas Island",NA
"Claremont","Coronary Heart Disease"
"Cockburn","Coronary Heart Disease"
"Cocos Islands",NA
"Collie","Coronary Heart Disease"
"Coolgardie","Coronary Heart Disease"
"Coorow","Lung Cancer"
"Corrigin","Coronary Heart Disease"
"Cottesloe","Coronary Heart Disease"
"Cranbrook","Coronary Heart Disease"
"Cuballing","Coronary Heart Disease"
"Cue",NA
"Cunderdin","Coronary Heart Disease"
"Dalwallinu","Coronary Heart Disease"
"Dandaragan","Coronary Heart Disease"
"Dardanup","Dementia / Alzheimer's"
"Denmark","Coronary Heart Disease"
"Derby-West Kimberley","Diabetes"
"Donnybrook-Balingup","Coronary Heart Disease"
"Dowerin","Lung Cancer"
"Dumbleyung",NA
"Dundas",NA
"East Fremantle","Dementia / Alzheimer's"
"East Pilbara","Coronary Heart Disease"
"Esperance","Coronary Heart Disease"
"Exmouth","Coronary Heart Disease"
"Fremantle","Dementia / Alzheimer's"
"Gingin","Coronary Heart Disease"
"Gnowangerup",NA
"Goomalling","Lung Cancer"
"Gosnells","Coronary Heart Disease"
"Greater Geraldton","Coronary Heart Disease"
"Halls Creek","Coronary Heart Disease"
"Harvey","Coronary Heart Disease"
"Irwin","Coronary Heart Disease"
"Jerramungup",NA
"Joondalup","Coronary Heart Disease"
"Kalamunda","Coronary Heart Disease"
"Kalgoorlie-Boulder","Coronary Heart Disease"
"Karratha","Coronary Heart Disease"
"Katanning","Coronary Heart Disease"
"Kellerberrin","Coronary Heart Disease"
"Kent",NA
"Kojonup","Coronary Heart Disease"
"Kondinin","Coronary Heart Disease"
"Koorda",NA
"Kulin",NA
"Kwinana","Coronary Heart Disease"
"Lake Grace","Coronary Heart Disease"
"Laverton","Coronary Heart Disease"
"Leonora","Coronary Heart Disease"
"Mandurah","Coronary Heart Disease"
"Manjimup","Coronary Heart Disease"
"Meekatharra","Coronary Heart Disease"
"Melville","Dementia / Alzheimer's"
"Menzies",NA
"Merredin","Coronary Heart Disease"
"Mingenew",NA
"Moora","Coronary Heart Disease"
"Morawa",NA
"Mosman Park","Dementia / Alzheimer's"
"Mount Magnet",NA
"Mount Marshall",NA
"Mukinbudin",NA
"Mundaring","Coronary Heart Disease"
"Murchison",NA
"Murray","Coronary Heart Disease"
"Nannup","Coronary Heart Disease"
"Narembeen","Coronary Heart Disease"
"Narrogin","Dementia / Alzheimer's"
"Nedlands","Coronary Heart Disease"
"Ngaanyatjarraku","Coronary Heart Disease"
"Northam","Coronary Heart Disease"
"Northampton","Lung Cancer"
"Nungarin",NA
"Peppermint Grove","Dementia / Alzheimer's"
"Perenjori",NA
"Perth","Coronary Heart Disease"
"Pingelly","Coronary Heart Disease"
"Plantagenet","Coronary Heart Disease"
"Port Hedland","Coronary Heart Disease"
"Quairading","Coronary Heart Disease"
"Ravensthorpe","Coronary Heart Disease"
"Rockingham","Dementia / Alzheimer's"
"Sandstone",NA
"Serpentine-Jarrahdale","Dementia / Alzheimer's"
"Shark Bay",NA
"South Perth","Dementia / Alzheimer's"
"Stirling","Coronary Heart Disease"
"Subiaco","Coronary Heart Disease"
"Swan","Coronary Heart Disease"
"Tammin","Coronary Heart Disease"
"Three Springs",NA
"Toodyay","Coronary Heart Disease"
"Trayning",NA
"Upper Gascoyne",NA
"Victoria Park","Coronary Heart Disease"
"Victoria Plains","Coronary Heart Disease"
"Vincent","Coronary Heart Disease"
"Wagin","Coronary Heart Disease"
"Wandering","Coronary Heart Disease"
"Wanneroo","Dementia / Alzheimer's"
"Waroona","Coronary Heart Disease"
"West Arthur","Coronary Heart Disease"
"Westonia",NA
"Wickepin",NA
"Williams","Coronary Heart Disease"
"Wiluna",NA
"Wongan-Ballidu","Coronary Heart Disease"
"Woodanilling",NA
"Wyalkatchem",NA
"Wyndham-East Kimberley","Coronary Heart Disease"
"Yalgoo",NA
"Yilgarn","Coronary Heart Disease"
"York","Coronary Heart Disease"
"Break O'Day","Coronary Heart Disease"
"Brighton","Coronary Heart Disease"
"Burnie","Coronary Heart Disease"
"Central Coast (Tas.)","Coronary Heart Disease"
"Central Highlands (Tas.)","Coronary Heart Disease"
"Circular Head","Coronary Heart Disease"
"Clarence","Dementia / Alzheimer's"
"Derwent Valley","Coronary Heart Disease"
"Devonport","Coronary Heart Disease"
"Dorset","Coronary Heart Disease"
"Flinders (Tas.)","Coronary Heart Disease"
"George Town","Coronary Heart Disease"
"Glamorgan-Spring Bay","Coronary Heart Disease"
"Glenorchy","Coronary Heart Disease"
"Hobart","Dementia / Alzheimer's"
"Huon Valley","Coronary Heart Disease"
"Kentish","Coronary Heart Disease"
"King Island","Coronary Heart Disease"
"Kingborough","Coronary Heart Disease"
"Latrobe (Tas.)","Coronary Heart Disease"
"Launceston","Coronary Heart Disease"
"Meander Valley","Coronary Heart Disease"
"Northern Midlands","Coronary Heart Disease"
"Sorell","Coronary Heart Disease"
"Southern Midlands","Coronary Heart Disease"
"Tasman","Coronary Heart Disease"
"Waratah-Wynyard","Coronary Heart Disease"
"West Coast","Coronary Heart Disease"
"West Tamar","Coronary Heart Disease"
"Alice Springs","Coronary Heart Disease"
"Barkly","Diabetes"
"Belyuen",NA
"Central Desert","Diabetes"
"Coomalie","Coronary Heart Disease"
"Darwin","Coronary Heart Disease"
"Darwin Waterfront Precinct",NA
"East Arnhem","Coronary Heart Disease"
"Katherine","Coronary Heart Disease"
"Litchfield","Lung Cancer"
"MacDonnell","Diabetes"
"Palmerston","Coronary Heart Disease"
"Roper Gulf","Coronary Heart Disease"
"Tiwi Islands","Coronary Heart Disease"
"Victoria Daly","Diabetes"
"Wagait",NA
"West Arnhem","Coronary Heart Disease"
"West Daly","Chronic Obstructive Pulmonary Disease"
"Unincorporated NT","Coronary Heart Disease"
"Unincorporated ACT","Dementia / Alzheimer's"
"Unincorp. Other Territories","Coronary Heart Disease"
"Unknown/missing","Coronary Heart Disease"
"Australia (total)","Coronary Heart Disease"
